Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1738665453,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738665454,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738665455,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738665456,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738665457,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738665458,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738665459,1,,Aggregated,0.000000,0.000000,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,1,0,5523.507419999987,5523.507419999987,5523.507419999987,5523.507419999987,368.0
1738665460,1,,Aggregated,0.000000,0.000000,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,1,0,5523.507419999987,5523.507419999987,5523.507419999987,5523.507419999987,368.0
1738665461,1,,Aggregated,0.000000,0.000000,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,1,0,5523.507419999987,5523.507419999987,5523.507419999987,5523.507419999987,368.0
1738665462,1,,Aggregated,0.000000,0.000000,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,1,0,5523.507419999987,5523.507419999987,5523.507419999987,5523.507419999987,368.0
1738665463,1,,Aggregated,0.000000,0.000000,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,1,0,5523.507419999987,5523.507419999987,5523.507419999987,5523.507419999987,368.0
1738665464,1,,Aggregated,0.000000,0.000000,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,1,0,5523.507419999987,5523.507419999987,5523.507419999987,5523.507419999987,368.0
1738665465,1,,Aggregated,0.000000,0.000000,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,1,0,5523.507419999987,5523.507419999987,5523.507419999987,5523.507419999987,368.0
1738665466,1,,Aggregated,0.100000,0.000000,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,2,0,5523.507419999987,6015.581386999997,5523.507419999987,6507.655354000008,841.0
1738665467,1,,Aggregated,0.100000,0.000000,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,2,0,5523.507419999987,6015.581386999997,5523.507419999987,6507.655354000008,841.0
1738665468,1,,Aggregated,0.100000,0.000000,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,2,0,5523.507419999987,6015.581386999997,5523.507419999987,6507.655354000008,841.0
1738665469,1,,Aggregated,0.100000,0.000000,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,2,0,5523.507419999987,6015.581386999997,5523.507419999987,6507.655354000008,841.0
1738665470,1,,Aggregated,0.200000,0.000000,5500,5500,6500,6500,6500,6500,6500,6500,6500,6500,6500,3,0,5500.0,5405.10256700001,4184.144927000034,6507.655354000008,696.6666666666666
1738665471,1,,Aggregated,0.200000,0.000000,5500,5500,6500,6500,6500,6500,6500,6500,6500,6500,6500,3,0,5500.0,5405.10256700001,4184.144927000034,6507.655354000008,696.6666666666666
1738665472,1,,Aggregated,0.200000,0.000000,5500,5500,6500,6500,6500,6500,6500,6500,6500,6500,6500,3,0,5500.0,5405.10256700001,4184.144927000034,6507.655354000008,696.6666666666666
1738665473,1,,Aggregated,0.200000,0.000000,5500,5500,6500,6500,6500,6500,6500,6500,6500,6500,6500,3,0,5500.0,5405.10256700001,4184.144927000034,6507.655354000008,696.6666666666666
1738665474,1,,Aggregated,0.200000,0.000000,5500,5500,6500,6500,6500,6500,6500,6500,6500,6500,6500,3,0,5500.0,5405.10256700001,4184.144927000034,6507.655354000008,696.6666666666666
1738665475,1,,Aggregated,0.200000,0.000000,5500,5500,6500,6500,6500,6500,6500,6500,6500,6500,6500,4,0,4900.0,5275.905110750045,4184.144927000034,6507.655354000008,535.25
1738665476,1,,Aggregated,0.200000,0.000000,4900,4900,5500,5500,6500,6500,6500,6500,6500,6500,6500,6,1,4200.0,3619.7926931667243,28.433837999955358,6507.655354000008,447.3333333333333
1738665477,1,,Aggregated,0.200000,0.000000,4900,4900,5500,5500,6500,6500,6500,6500,6500,6500,6500,6,1,4200.0,3619.7926931667243,28.433837999955358,6507.655354000008,447.3333333333333
1738665478,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665479,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665480,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665481,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665482,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665483,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665484,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665485,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665486,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665487,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665488,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665489,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665490,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665491,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665492,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665493,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665494,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665495,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665496,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665497,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665498,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665499,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665500,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665501,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665502,1,,Aggregated,0.200000,0.000000,590,4200,4900,5500,6500,6500,6500,6500,6500,6500,6500,9,1,590.0,2523.539082444459,28.433837999955358,6507.655354000008,530.4444444444445
1738665503,1,,Aggregated,0.000000,0.000000,4200,4900,5500,6500,25000,25000,25000,25000,25000,25000,25000,10,1,590.0,4758.604417900028,28.433837999955358,24874.192437000147,481.5
1738665504,26,,Aggregated,0.000000,0.000000,4200,4900,5500,6500,25000,25000,25000,25000,25000,25000,25000,10,1,590.0,4758.604417900028,28.433837999955358,24874.192437000147,481.5
1738665505,26,,Aggregated,0.000000,0.000000,4200,4900,5500,6500,25000,25000,25000,25000,25000,25000,25000,10,1,590.0,4758.604417900028,28.433837999955358,24874.192437000147,481.5
1738665506,26,,Aggregated,0.000000,0.000000,4200,4900,5500,6500,25000,25000,25000,25000,25000,25000,25000,10,1,590.0,4758.604417900028,28.433837999955358,24874.192437000147,481.5
1738665507,26,,Aggregated,0.000000,0.000000,4200,4900,5500,6500,25000,25000,25000,25000,25000,25000,25000,10,1,590.0,4758.604417900028,28.433837999955358,24874.192437000147,481.5
1738665508,26,,Aggregated,0.100000,0.000000,4200,4900,5500,5500,6500,25000,25000,25000,25000,25000,25000,11,1,4200.0,4712.278223000029,28.433837999955358,24874.192437000147,471.1818181818182
1738665509,26,,Aggregated,0.100000,0.000000,4200,4900,5500,5500,6500,25000,25000,25000,25000,25000,25000,11,1,4200.0,4712.278223000029,28.433837999955358,24874.192437000147,471.1818181818182
1738665510,26,,Aggregated,0.100000,0.000000,4200,4900,5500,5500,6500,25000,25000,25000,25000,25000,25000,11,1,4200.0,4712.278223000029,28.433837999955358,24874.192437000147,471.1818181818182
1738665511,26,,Aggregated,0.200000,0.000000,4200,4900,6500,6500,7200,25000,25000,25000,25000,25000,25000,12,1,4200.0,4916.164134166706,28.433837999955358,24874.192437000147,462.5833333333333
1738665512,26,,Aggregated,0.200000,0.000000,4200,4900,6500,6500,7200,25000,25000,25000,25000,25000,25000,12,1,4200.0,4916.164134166706,28.433837999955358,24874.192437000147,462.5833333333333
1738665513,26,,Aggregated,0.200000,0.000000,4900,7200,9500,9600,9900,25000,25000,25000,25000,25000,25000,17,1,4900.0,5761.993653647082,28.433837999955358,24874.192437000147,490.4117647058824
1738665514,26,,Aggregated,0.300000,0.000000,4200,6500,9600,9700,10000,11000,25000,25000,25000,25000,25000,24,1,4200.0,5083.464736541696,28.433837999955358,24874.192437000147,538.5416666666666
1738665515,26,,Aggregated,0.300000,0.000000,4200,7200,9700,9900,11000,11000,25000,25000,25000,25000,25000,32,2,940.0,4898.73721128128,2.735117000156606,24874.192437000147,551.5
1738665516,26,,Aggregated,0.700000,0.000000,4200,9700,11000,11000,13000,13000,25000,25000,25000,25000,25000,43,4,4200.0,5704.086076488386,1.3622090000353637,24874.192437000147,518.5116279069767
1738665517,26,,Aggregated,1.500000,0.000000,4200,9700,11000,12000,13000,13000,25000,25000,25000,25000,25000,49,4,4200.0,5599.0947570204235,1.3622090000353637,24874.192437000147,508.1224489795918
1738665518,26,,Aggregated,2.200000,0.100000,940,9500,11000,11000,13000,13000,14000,25000,25000,25000,25000,53,5,940.0,5262.717938905677,1.3622090000353637,24874.192437000147,507.8490566037736
1738665519,26,,Aggregated,3.400000,0.300000,3200,9600,11000,12000,13000,14000,16000,25000,25000,25000,25000,55,5,3200.0,5460.822447581833,1.3622090000353637,24874.192437000147,496.8181818181818
1738665520,26,,Aggregated,3.900000,0.300000,3200,9600,11000,12000,13000,16000,17000,25000,25000,25000,25000,59,5,3200.0,5654.666263779679,1.3622090000353637,24874.192437000147,504.79661016949154
1738665521,26,,Aggregated,4.200000,0.400000,940,9500,11000,12000,13000,16000,18000,25000,25000,25000,25000,65,5,940.0,5464.313304723102,1.3622090000353637,24874.192437000147,517.7692307692307
1738665522,26,,Aggregated,4.500000,0.400000,940,7800,11000,11000,13000,16000,18000,25000,25000,25000,25000,71,5,940.0,5324.694929676085,1.3622090000353637,24874.192437000147,479.59154929577466
1738665523,26,,Aggregated,4.900000,0.400000,3200,7800,11000,12000,13000,17000,20000,25000,25000,25000,25000,74,5,940.0,5471.636891202726,1.3622090000353637,24874.192437000147,471.06756756756755
1738665524,27,,Aggregated,5.300000,0.400000,1600,6300,9700,11000,13000,17000,20000,25000,25000,25000,25000,89,7,1600.0,5131.897789000029,1.3622090000353637,24874.192437000147,455.3258426966292
1738665525,27,,Aggregated,5.900000,0.400000,1500,5700,9500,10000,13000,16000,20000,20000,25000,25000,25000,102,7,1300.0,4858.510151372572,1.3622090000353637,24874.192437000147,421.5686274509804
1738665526,27,,Aggregated,5.800000,0.400000,1200,5500,9500,10000,13000,16000,20000,20000,25000,25000,25000,108,7,1100.0,4673.670753842614,1.3622090000353637,24874.192437000147,404.8888888888889
1738665527,27,,Aggregated,6.600000,0.600000,1100,4900,7800,9900,13000,16000,20000,20000,25000,25000,25000,115,7,1100.0,4453.003768730453,1.3622090000353637,24874.192437000147,384.62608695652176
