details_pod,productpage_pod,ratings_pod,reviews_pod,details_vCPU,productpage_vCPU,ratings_vCPU,reviews_vCPU,details_cpu,productpage_cpu,ratings_cpu,reviews_cpu,details_mem_,productpage_mem_,ratings_mem_,reviews_mem_,details_mem,productpage_mem,ratings_mem,reviews_mem,details_res,productpage_res,ratings_res,reviews_res,details_req,productpage_req,ratings_req,reviews_req
1.0,1.0,1.0,1.0,0.005940066666666673,0.0070245333333333266,0.006562899999999994,0.0077150333333333284,0.0028286031746031777,0.0027017435897435872,0.0031251904761904733,0.0036738253968253945,64376832.0,68079616.0,49725440.0,39641088.0,0.053293863932291664,0.056359185112847224,0.04116482204861111,0.032816569010416664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.00641543333333332,0.00647866666666667,0.005966266666666664,0.009171099999999995,0.0030549682539682474,0.002491794871794873,0.0028410793650793637,0.004367190476190473,58900480.0,62291968.0,47493120.0,39665664.0,0.048760308159722224,0.051567925347222224,0.039316813151041664,0.0328369140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.006766433333333325,0.0061277666666666635,0.006690466666666669,0.003646333333333329,0.003222111111111107,0.002356833333333332,0.0031859365079365087,0.0017363492063492043,58925056.0,62308352.0,47513600.0,39661568.0,0.04878065321180555,0.051581488715277776,0.03933376736111111,0.03283352322048611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.006147500000000002,0.010082600000000008,0.006688933333333328,0.007292600000000012,0.002927380952380953,0.0038779230769230796,0.0031852063492063465,0.003472666666666672,55554048.0,59199488.0,41111552.0,34267136.0,0.045989990234375,0.04900783962673611,0.034033881293402776,0.028367784288194444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.008889366666666672,0.006250233333333337,0.003853699999999997,0.005320633333333339,0.0042330317460317485,0.0024039358974358984,0.0018350952380952366,0.0025336349206349232,55558144.0,59211776.0,41115648.0,34267136.0,0.04599338107638889,0.049018012152777776,0.034037272135416664,0.028367784288194444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.008308333333333333,0.007060499999999988,0.005710099999999999,0.006235466666666648,0.003956349206349206,0.002715576923076918,0.0027190952380952375,0.0029692698412698325,55169024.0,59219968.0,40947712.0,34140160.0,0.04567125108506945,0.04902479383680555,0.033898247612847224,0.028262668185763888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.007330966666666682,0.007233433333333335,0.003222866666666668,0.004118200000000005,0.003490936507936516,0.002782089743589744,0.0015346984126984136,0.0019610476190476214,55173120.0,59219968.0,40964096.0,34144256.0,0.045674641927083336,0.04902479383680555,0.033911810980902776,0.028266059027777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0065330666666666495,0.00701043333333334,0.0027107999999999837,0.009213133333333356,0.003110984126984119,0.002696320512820515,0.001290857142857135,0.004387206349206359,55177216.0,59101184.0,40968192.0,34201600.0,0.045678032769097224,0.048926459418402776,0.033915201822916664,0.028313530815972224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.006625033333333352,0.009274499999999986,0.00637970000000001,0.009389000000000003,0.0031547777777777867,0.003567115384615379,0.003037952380952386,0.004470952380952382,55177216.0,59129856.0,40968192.0,34258944.0,0.045678032769097224,0.0489501953125,0.033915201822916664,0.028361002604166668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.00413303333333334,0.011363466666666669,0.00977456666666668,0.011484966666666688,0.001968111111111114,0.004370564102564104,0.004654555555555562,0.005469031746031756,55181312.0,60407808.0,42917888.0,35340288.0,0.04568142361111111,0.050008138020833336,0.035529242621527776,0.029256184895833332,0.0,0.039615384615384615,0.01400714285714286,0.01958333333333333,0.27138333333333337,0.27138333333333337,0.5382611111111111,0.5425333333333333
