adservice_pod,cartservice_pod,checkoutservice_pod,currencyservice_pod,emailservice_pod,paymentservice_pod,productcatalogservice_pod,recommendationservice_pod,shippingservice_pod,adservice_vCPU,cartservice_vCPU,checkoutservice_vCPU,currencyservice_vCPU,emailservice_vCPU,paymentservice_vCPU,productcatalogservice_vCPU,recommendationservice_vCPU,shippingservice_vCPU,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,shippingservice_cpu,adservice_mem_,cartservice_mem_,checkoutservice_mem_,currencyservice_mem_,emailservice_mem_,paymentservice_mem_,productcatalogservice_mem_,recommendationservice_mem_,shippingservice_mem_,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,shippingservice_mem,adservice_res,cartservice_res,checkoutservice_res,currencyservice_res,emailservice_res,paymentservice_res,productcatalogservice_res,recommendationservice_res,shippingservice_res,adservice_req,cartservice_req,checkoutservice_req,currencyservice_req,emailservice_req,paymentservice_req,productcatalogservice_req,recommendationservice_req,shippingservice_req
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.045887566666666636,0.007146099999999992,0.011404466666666672,0.009522133333333339,0.015379100000000001,0.013537900000000005,0.009936033333333327,0.012391966666666665,0.013637633333333336,0.019951115942028974,0.003106999999999997,0.0051838484848484865,0.004328242424242426,0.0069905,0.0061535909090909115,0.0045163787878787845,0.00563271212121212,0.006198924242424244,260186112.0,69402624.0,49795072.0,61018112.0,81174528.0,60489728.0,50663424.0,77328384.0,49745920.0,0.18741148980362538,0.057454427083333336,0.041222466362847224,0.050513373480902776,0.06719970703125,0.05007595486111111,0.041941324869791664,0.05003127120081411,0.04118177625868055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06366333333333335,0.008456033333333342,0.010396566666666655,0.0075053333333333265,0.018329400000000006,0.009495100000000001,0.013503966666666652,0.01757949999999999,0.013792600000000021,0.027679710144927545,0.003676536231884062,0.004725712121212116,0.003411515151515148,0.008331545454545456,0.0043159545454545456,0.006138166666666659,0.007990681818181813,0.006269363636363646,257740800.0,69095424.0,49881088.0,56061952.0,75423744.0,60416000.0,49795072.0,77672448.0,50401280.0,0.1856501368957704,0.057200113932291664,0.04129367404513889,0.046410454644097224,0.06243896484375,0.05001491970486111,0.041222466362847224,0.050253879748982364,0.041724310980902776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06595363333333341,0.015443833333333353,0.010241166666666648,0.006992799999999999,0.022832933333333354,0.007022333333333315,0.013041133333333328,0.017614899999999996,0.019249266666666643,0.028675492753623227,0.006714710144927545,0.004655075757575749,0.003178545454545454,0.010378606060606069,0.0031919696969696884,0.005927787878787876,0.008006772727272725,0.008749666666666656,258252800.0,69894144.0,49745920.0,56270848.0,75448320.0,60395520.0,49799168.0,75476992.0,50081792.0,0.18601892938066467,0.057861328125,0.04118177625868055,0.04658338758680555,0.062459309895833336,0.049997965494791664,0.04122585720486111,0.04883342520352781,0.04145982530381945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06998033333333341,0.012909933333333345,0.01053519999999999,0.013145833333333337,0.023444433333333327,0.012412833333333317,0.01065463333333332,0.015181333333333344,0.009374000000000007,0.030426231884058005,0.005613014492753629,0.004788727272727267,0.005975378787878789,0.010656560606060602,0.005642196969696962,0.004843015151515145,0.0069006060606060645,0.004260909090909095,272510976.0,64188416.0,41828352.0,52813824.0,73064448.0,51789824.0,40853504.0,69021696.0,42115072.0,0.1962890625,0.053137885199652776,0.034627278645833336,0.043721516927083336,0.06048583984375,0.04287380642361111,0.033820258246527776,0.04465686482360923,0.03486463758680555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06047883333333329,0.010088966666666662,0.010496666666666658,0.00810566666666667,0.008272366666666642,0.011910133333333305,0.01074986666666667,0.015409399999999972,0.010078433333333307,0.026295144927536214,0.00438650724637681,0.004771212121212117,0.003684393939393941,0.003760166666666655,0.005413696969696956,0.004886303030303032,0.007004272727272714,0.004581106060606048,272719872.0,64835584.0,42004480.0,53858304.0,73359360.0,52338688.0,41222144.0,69025792.0,42266624.0,0.19643952983383686,0.053673638237847224,0.03477308485243055,0.044586181640625,0.06072998046875,0.043328179253472224,0.034125434027777776,0.04465951492537314,0.03499009874131945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04922336666666673,0.015967799999999956,0.005908966666666664,0.008549433333333311,0.0151272333333333,0.010442199999999987,0.01289066666666668,0.012315700000000025,0.010729733333333335,0.021401463768115973,0.006942521739130416,0.0026858939393939376,0.00388610606060605,0.0068760151515151365,0.004746454545454539,0.0058593939393939455,0.005598045454545466,0.004877151515151516,272302080.0,64573440.0,41676800.0,53694464.0,71434240.0,52932608.0,41758720.0,68923392.0,42536960.0,0.19613859516616314,0.053456624348958336,0.03450181749131945,0.04445054796006945,0.059136284722222224,0.04381985134548611,0.034569634331597224,0.04459326238127544,0.03521389431423611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05543069999999991,0.015330966666666631,0.010815766666666674,0.012880599999999997,0.008669066666666699,0.008635833333333339,0.010269466666666668,0.012325366666666681,0.007653833333333301,0.02410030434782605,0.006665637681159405,0.004916257575757579,0.00585481818181818,0.003940484848484862,0.00392537878787879,0.004667939393939394,0.0056024393939394,0.0034790151515151366,272330752.0,65269760.0,41668608.0,53878784.0,71614464.0,53391360.0,42065920.0,68956160.0,42307584.0,0.19615924754531722,0.05403306749131945,0.034495035807291664,0.04460313585069445,0.059285481770833336,0.044199625651041664,0.03482394748263889,0.0446144631953867,0.035024007161458336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03998826666666654,0.017380100000000037,0.012866700000000009,0.01123993333333333,0.01717913333333332,0.00884863333333333,0.01336769999999999,0.021039199999999997,0.012072900000000017,0.01738620289855067,0.007556565217391322,0.005848500000000004,0.005109060606060604,0.007808696969696962,0.0040221060606060585,0.006076227272727267,0.009563272727272726,0.005487681818181826,272752640.0,64888832.0,41533440.0,54046720.0,71467008.0,53391360.0,41934848.0,68964352.0,42201088.0,0.1964631325528701,0.053717719184027776,0.034383138020833336,0.04474216037326389,0.059163411458333336,0.044199625651041664,0.03471544053819445,0.04461976339891452,0.034935845269097224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04803263333333329,0.011820933333333332,0.009924766666666685,0.010050766666666681,0.018234366666666623,0.008333166666666673,0.0064119999999999655,0.014706033333333342,0.00964760000000003,0.020883753623188388,0.005139536231884058,0.004511257575757583,0.0045685303030303095,0.008288348484848464,0.003787803030303033,0.0029145454545454388,0.00668456060606061,0.004385272727272741,273362944.0,64790528.0,41340928.0,54001664.0,71639040.0,53616640.0,42209280.0,69615616.0,42086400.0,0.19690273319486404,0.05363633897569445,0.03422376844618055,0.04470486111111111,0.059305826822916664,0.04438612196180555,0.034942626953125,0.045041129579375845,0.034840901692708336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02593126666666663,0.011109100000000005,0.011053066666666686,0.010370566666666706,0.016773266666666644,0.00672256666666667,0.011089000000000009,0.015206833333333294,0.009426166666666683,0.011274463768115927,0.004830043478260872,0.00502412121212122,0.004713893939393958,0.007624212121212111,0.0030557121212121223,0.005040454545454549,0.006912196969696952,0.00428462121212122,273207296.0,65003520.0,41459712.0,54243328.0,71553024.0,53604352.0,42094592.0,68980736.0,42020864.0,0.19679062027945618,0.053812662760416664,0.034322102864583336,0.04490492078993055,0.059234619140625,0.04437594943576389,0.03484768337673611,0.04463036380597015,0.03478664822048611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
